Action,47726342,The Rundown,26/09/2003,Dwayne Johnson
Drama,57490508,Memoirs of a Geisha,23/12/2005,Ziyi Zhang
Comedy,62252415,Bewitched,24/06/2005,Nicole Kidman
Comedy,63224849,The Holiday,08/12/2006,Kate Winslet
Action,62514415,The Fast and the Furious: Tokyo Drift,16/06/2006,Lucas Black
Animation,85105259,Open Season,29/09/2006,Ashton Kutcher
Animation,127807262,Enchanted,21/11/2007,Amy Adams
Crime,117154724,Ocean's Thirteen,08/06/2007,George Clooney
Comedy,120059556,I Now Pronounce You Chuck & Larry,20/07/2007,Adam Sandler
Action,75754670,Hellboy II: The Golden Army,11/07/2008,Ron Perlman
Action,80172128,Jumper,14/02/2008,Hayden Christensen
Animation,154529439,Horton Hears a Who!,14/03/2008,Jim Carrey
Action,155064265,Fast & Furious,03/04/2009,Vin Diesel
Comedy,112735375,It's Complicated,25/12/2009,Meryl Streep
Action,43585753,Cats & Dogs: The Revenge of Kitty Galore,30/07/2010,Bette Midler
Animation,148313048,Hotel Transylvania,28/09/2012,Adam Sandler
Action,126373434,Protegiendo al enemigo,10/02/2012,Denzel Washington
Adventure,64935167,Mirror Mirror,30/03/2012,Lily Collins
Adventure,150947895,Divergent,21/03/2014,Shailene Woodley
Action,40069087,Allied,23/11/2016,Brad Pitt
Action,16209459,Raw Deal,06/06/1986,Arnold Schwarzenegger
Biography,277646,Lady Jane,07/02/1986,Helena Bonham Carter
Action,47624253,New Jack City,08/03/1991,Wesley Snipes
Fantasy,15171475,Thinner,25/10/1996,Joe Mantegna
Comedy,17845337,Drive Me Crazy,01/10/1999,Melissa Joan Hart
Comedy,10919177,Cookie's Fortune,16/04/1999,Glenn Close
Action,6055661,The Way of the Gun,08/09/2000,Ryan Phillippe
Drama,327418,Waking the Dead,24/03/2000,Billy Crudup
Drama,28563926,Swimfan,06/09/2002,Jesse Bradford
Horror,140244,Repo! The Genetic Opera,20/11/2008,Paul Sorvino
Animation,35161554,Star Wars: The Clone Wars,15/08/2008,Matt Lanter
Biography,4444637,Bright Star,09/10/2009,Abbie Cornish
Comedy,219438,The Zero Theorem,19/08/2014,Christoph Waltz
Action,6787,Welcome to the Punch,15/03/2013,James McAvoy
Crime,32381218,Nightcrawler,31/10/2014,Jake Gyllenhaal
Action,1109199,The Rover,20/06/2014,Guy Pearce
Comedy,34017854,The DUFF,20/02/2015,Mae Whitman
Drama,187112,Maggie,08/05/2015,Arnold Schwarzenegger
Drama,47695120,Manchester by the Sea,16/12/2016,Casey Affleck
Biography,15858754,The Birth of a Nation,07/10/2016,Nate Parker
Animation,19985196,Middle School: The Worst Years of My Life,07/10/2016,Griffin Gluck
Comedy,819939,Latter Days,01/07/2004,Wes Ramsey
Comedy,1243961,"For a Good Time, Call...",02/11/2012,Ari Graynor
Comedy,123309890,Nutty Professor II: The Klumps,28/07/2000,Eddie Murphy
Animation,153288182,Scooby-Doo,14/06/2002,Matthew Lillard
Comedy,17018422,Son of the Mask,18/02/2005,Jamie Kennedy
Action,53262560,RED 2,19/07/2013,Bruce Willis
Comedy,35268275,The Flintstones in Viva Rock Vegas,28/04/2000,Mark Addy
Biography,34580635,Man on the Moon,22/12/1999,Jim Carrey
Action,34604280,The 6th Day,17/11/2000,Arnold Schwarzenegger
Comedy,158119460,The Longest Yard,27/05/2005,Adam Sandler
Action,36392502,Sucker Punch,25/03/2011,Emily Browning
Action,27979400,Loaded Weapon 1,05/02/1993,Emilio Estevez
Animation,1339152,El principito,05/08/2016,Jeff Bridges
Comedy,242829261,Bruce Almighty,23/05/2003,Jim Carrey
Action,128261724,Kingsman: The Secret Service,13/02/2015,Colin Firth
Action,3411885,Gunmen,04/02/1994,Christopher Lambert
Action,162831698,Batman Returns,19/06/1992,Michael Keaton
Action,180981856,Mission: Impossible,22/05/1996,Tom Cruise
Animation,90463534,Space Jam,15/11/1996,Michael Jordan
Action,136492681,Ransom,08/11/1996,Mel Gibson
Action,33023469,Daylight,06/12/1996,Sylvester Stallone
Action,17626234,The Postman,25/12/1997,Kevin Costner
Action,112225777,Face/Off,27/06/1997,John Travolta
Comedy,92977226,Flubber,26/11/1997,Robin Williams
Action,69117629,Lost in Space,03/04/1998,Gary Oldman
Drama,37020277,Sphere,13/02/1998,Dustin Hoffman
Drama,22852487,Beloved,16/10/1998,Oprah Winfrey
Adventure,18319860,Babe el puerquito va a la ciudad,25/11/1998,Magda Szubanski
Action,155247825,The Mummy,07/05/1999,Brendan Fraser
Comedy,63844974,Life,16/04/1999,Eddie Murphy
Fantasy,91411151,La maldición,23/07/1999,Liam Neeson
Comedy,106885658,Analyze This,05/03/1999,Robert De Niro
Drama,52880016,Message in a Bottle,12/02/1999,Kevin Costner
Drama,35168395,For Love of the Game,17/09/1999,Kevin Costner
Animation,60655420,Fantasia 2000,16/06/2000,James Levine
Comedy,22362500,Edtv,26/03/1999,Matthew McConaughey
Drama,34098563,Instinct,04/06/1999,Anthony Hopkins
Drama,34592089,Thirteen Days,12/01/2001,Kevin Costner
Drama,30695227,The Legend of Bagger Vance,03/11/2000,Will Smith
Action,17480890,Red Planet,10/11/2000,Val Kilmer
Comedy,38345494,Evolution,08/06/2001,David Duchovny
Crime,104454762,Road to Perdition,12/07/2002,Tom Hanks
Animation,145794338,Lilo & Stitch,21/06/2002,Daveigh Chase
Animation,73280117,Spirit: Stallion of the Cimarron,24/05/2002,Matt Damon
Action,56684819,The Time Machine,08/03/2002,Guy Pearce
Comedy,124728738,Something's Gotta Give,12/12/2003,Jack Nicholson
Action,116934650,S.W.A.T.,08/08/2003,Samuel L. Jackson
Action,19481943,Timeline,26/11/2003,Paul Walker
Animation,20991364,Looney Tunes: Back in Action,14/11/2003,Brendan Fraser
Comedy,279261160,Meet the Fockers,22/12/2004,Ben Stiller
Drama,65955630,The Manchurian Candidate,30/07/2004,Denzel Washington
Animation,84216833,Scooby-Doo 2: Monsters Unleashed,26/03/2004,Freddie Prinze Jr.
Comedy,42044321,Spanglish,17/12/2004,Adam Sandler
Crime,72708161,The Interpreter,22/04/2005,Nicole Kidman
Action,10166502,The Great Raid,12/08/2005,Benjamin Bratt
Action,1891821,A Sound of Thunder,02/09/2005,Edward Burns
Animation,155019340,Over the Hedge,19/05/2006,Bruce Willis
Animation,195330621,Ice Age: The Meltdown,31/03/2006,Ray Romano
Animation,37384046,Vida salvaje,14/04/2006,Kiefer Sutherland
Sci-Fi,15071514,The Invasion,17/08/2007,Nicole Kidman
Action,130319208,Get Smart,20/06/2008,Steve Carell
Action,101111837,Eagle Eye,26/09/2008,Shia LaBeouf
Drama,79366978,The Day the Earth Stood Still,12/12/2008,Keanu Reeves
